ID,Fecha/Hora,Usuario,Email,Módulo,Acción,Descripción,Resultado,IP Address,Mensaje Error
"185","08-12-2025, 9:24:44 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto Audit Test 1765239876461" eliminado exitosamente","exito","127.0.0.1",""
"184","08-12-2025, 9:24:40 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto Audit Test 1765239876461" creado exitosamente - Precio: $1.000","exito","127.0.0.1",""
"183","08-12-2025, 9:15:34 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto Audit Test 1765239325523" eliminado exitosamente","exito","127.0.0.1",""
"182","08-12-2025, 9:15:29 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto Audit Test 1765239325523" creado exitosamente - Precio: $1.000","exito","127.0.0.1",""
"181","08-12-2025, 9:12:49 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto Audit Test 1765239162221" eliminado exitosamente","exito","127.0.0.1",""
"180","08-12-2025, 9:12:45 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto Audit Test 1765239162221" creado exitosamente - Precio: $1.000","exito","127.0.0.1",""
"178","08-12-2025, 9:12:24 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto de Prueba Cypress" creado exitosamente - Precio: $5.000","exito","127.0.0.1",""
"179","08-12-2025, 9:12:24 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto de Prueba Cypress" eliminado exitosamente","exito","127.0.0.1",""
"177","08-12-2025, 1:00:11 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto Audit Test 1765166403412" eliminado exitosamente","exito","127.0.0.1",""
"176","08-12-2025, 1:00:07 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto Audit Test 1765166403412" creado exitosamente - Precio: $1.000","exito","127.0.0.1",""
"175","08-12-2025, 12:59:27 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto Audit Test 1765166358602" eliminado exitosamente","exito","127.0.0.1",""
"174","08-12-2025, 12:59:23 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto Audit Test 1765166358602" creado exitosamente - Precio: $1.000","exito","127.0.0.1",""
"173","08-12-2025, 12:53:15 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto Audit Test 1765165991734" creado exitosamente - Precio: $1.000","exito","127.0.0.1",""
"171","08-12-2025, 12:51:14 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto de Prueba Cypress" creado exitosamente - Precio: $5.000","exito","127.0.0.1",""
"172","08-12-2025, 12:51:14 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto de Prueba Cypress" eliminado exitosamente","exito","127.0.0.1",""
"169","08-12-2025, 12:47:55 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto de Prueba Cypress" creado exitosamente - Precio: $5.000","exito","127.0.0.1",""
"170","08-12-2025, 12:47:55 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto de Prueba Cypress" eliminado exitosamente","exito","127.0.0.1",""
"167","08-12-2025, 12:42:45 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_crear","Producto "Producto de Prueba Cypress" creado exitosamente - Precio: $5.000","exito","127.0.0.1",""
"168","08-12-2025, 12:42:45 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_eliminar","Producto "Producto de Prueba Cypress" eliminado exitosamente","exito","127.0.0.1",""
"166","08-12-2025, 12:34:33 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Torta de Chocolate" actualizado (ID: 208) (Precio: $12.990, Stock: 14)","exito","127.0.0.1",""
"165","08-12-2025, 12:31:05 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Brownie con Nueces" actualizado (ID: 212) (Precio: $3.990, Stock: 30)","exito","127.0.0.1",""
"164","08-12-2025, 12:24:35 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Torta de Zanahoria" actualizado (ID: 214) (Precio: $13.990, Stock: 10)","exito","127.0.0.1",""
"163","08-12-2025, 12:24:20 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Torta de Zanahoria" actualizado (ID: 214) (Precio: $13.990, Stock: 10)","exito","127.0.0.1",""
"162","08-12-2025, 12:23:54 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Macarons Franceses" actualizado (ID: 217) (Precio: $10.990, Stock: 22)","exito","127.0.0.1",""
"161","08-12-2025, 12:23:49 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Torta de Zanahoria" actualizado (ID: 214) (Precio: $13.990, Stock: 10)","exito","127.0.0.1",""
"160","08-12-2025, 12:21:11 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Torta de Zanahoria" actualizado (ID: 214) (Precio: $13.990, Stock: 10)","exito","127.0.0.1",""
"159","08-12-2025, 12:12:28 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","productos","producto_editar","Producto "Alfajores Artesanales" actualizado (ID: 215) (Precio: $7.990, Stock: 40)","exito","127.0.0.1",""
"158","07-12-2025, 11:57:10 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","pedidos","pedido_crear","Pedido PED-20251207-5709 creado por $0","exito","127.0.0.1",""
"157","07-12-2025, 11:38:57 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","BACKUP_ELIMINAR","Backup eliminado: ID 43","exito","127.0.0.1",""
"156","07-12-2025, 11:38:50 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","BACKUP_CREAR","Backup manual creado: backup_pasteleria-dulce-sabor_2025-12-07_23-38-49.sql","exito","127.0.0.1",""
"155","07-12-2025, 11:26:31 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"154","07-12-2025, 11:26:16 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"151","07-12-2025, 8:46:29 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"150","07-12-2025, 7:55:07 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"149","07-12-2025, 7:54:35 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"148","07-12-2025, 6:34:52 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"147","07-12-2025, 6:34:48 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"146","07-12-2025, 6:20:12 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"145","07-12-2025, 6:20:07 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"144","07-12-2025, 5:53:20 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"143","07-12-2025, 5:53:09 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"142","07-12-2025, 5:53:00 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"141","07-12-2025, 5:47:12 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"140","07-12-2025, 5:30:17 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"139","07-12-2025, 5:21:24 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"138","07-12-2025, 5:21:13 p. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"137","07-12-2025, 2:17:05 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"136","07-12-2025, 2:17:02 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"135","07-12-2025, 2:16:49 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"134","07-12-2025, 2:16:43 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"133","07-12-2025, 1:39:51 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"132","07-12-2025, 1:25:38 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"131","07-12-2025, 1:24:53 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
"130","07-12-2025, 1:24:46 a. m.","Admin pasteleria-dulce-sabor","admin@pasteleria-dulce-sabor.com","sistema","CONFIGURACION_ACTUALIZADA","Configuraciones actualizadas: currency, language, timezone, tax_rate, notification_email, email_template_order, pdf_template_invoice, contacto@dulcesabor.com","exito","127.0.0.1",""
